# ZDC LUT for HI running 2023, first pass implementation
# Scaling factor of 10000 used for double -> int conversion
#<header> V1 13 32 </header>

0 10000 # Scaling Factor
1 1659 # [index ibit=0], [index idet=0]
55 431574 # [index ibit=54], [index idet=0]
56 444853 # [index ibit=55], [index idet=0]
57 458132 # [index ibit=56], [index idet=0]
58 478051 # [index ibit=57], [index idet=0]
59 504609 # [index ibit=58], [index idet=0]
60 531168 # [index ibit=59], [index idet=0]
61 557726 # [index ibit=60], [index idet=0]
62 584284 # [index ibit=61], [index idet=0]
63 610843 # [index ibit=62], [index idet=0]
64 637402 # [index ibit=63], [index idet=0]
65 580483 # [index ibit=64], [index idet=0]
66 606735 # [index ibit=65], [index idet=0]
67 632988 # [index ibit=66], [index idet=0]
68 659241 # [index ibit=67], [index idet=0]
69 685494 # [index ibit=68], [index idet=0]
70 711746 # [index ibit=69], [index idet=0]
71 737999 # [index ibit=70], [index idet=0]
72 764252 # [index ibit=71], [index idet=0]
73 790505 # [index ibit=72], [index idet=0]
74 816758 # [index ibit=73], [index idet=0]
75 843011 # [index ibit=74], [index idet=0]
76 869263 # [index ibit=75], [index idet=0]
77 895516 # [index ibit=76], [index idet=0]
78 921769 # [index ibit=77], [index idet=0]
79 948021 # [index ibit=78], [index idet=0]
80 974274 # [index ibit=79], [index idet=0]
81 1013654 # [index ibit=80], [index idet=0]
82 1066160 # [index ibit=81], [index idet=0]
83 1118660 # [index ibit=82], [index idet=0]
84 1171170 # [index ibit=83], [index idet=0]
85 1223670 # [index ibit=84], [index idet=0]
86 1276181 # [index ibit=85], [index idet=0]
87 1328691 # [index ibit=86], [index idet=0]
88 1381191 # [index ibit=87], [index idet=0]
89 1433701 # [index ibit=88], [index idet=0]
90 1486201 # [index ibit=89], [index idet=0]
91 1538711 # [index ibit=90], [index idet=0]
92 1591212 # [index ibit=91], [index idet=0]
93 1643722 # [index ibit=92], [index idet=0]
94 1696222 # [index ibit=93], [index idet=0]
95 1748732 # [index ibit=94], [index idet=0]
96 1801232 # [index ibit=95], [index idet=0]
97 1853742 # [index ibit=96], [index idet=0]
98 1906242 # [index ibit=97], [index idet=0]
99 1958753 # [index ibit=98], [index idet=0]
100 2011263 # [index ibit=99], [index idet=0]
101 2090018 # [index ibit=100], [index idet=0]
102 2195028 # [index ibit=101], [index idet=0]
103 2300039 # [index ibit=102], [index idet=0]
104 2405049 # [index ibit=103], [index idet=0]
105 2510059 # [index ibit=104], [index idet=0]
106 2615070 # [index ibit=105], [index idet=0]
107 2720080 # [index ibit=106], [index idet=0]
108 2825090 # [index ibit=107], [index idet=0]
109 2930101 # [index ibit=108], [index idet=0]
110 3035121 # [index ibit=109], [index idet=0]
111 3140132 # [index ibit=110], [index idet=0]
112 3245142 # [index ibit=111], [index idet=0]
113 3350152 # [index ibit=112], [index idet=0]
114 3455162 # [index ibit=113], [index idet=0]
115 3560173 # [index ibit=114], [index idet=0]
116 3665183 # [index ibit=115], [index idet=0]
117 3770193 # [index ibit=116], [index idet=0]
118 3875204 # [index ibit=117], [index idet=0]
119 3980214 # [index ibit=118], [index idet=0]
120 4085224 # [index ibit=119], [index idet=0]
121 4190235 # [index ibit=120], [index idet=0]
122 4347755 # [index ibit=121], [index idet=0]
123 4557776 # [index ibit=122], [index idet=0]
124 4767796 # [index ibit=123], [index idet=0]
125 4977817 # [index ibit=124], [index idet=0]
126 5187848 # [index ibit=125], [index idet=0]
127 5397869 # [index ibit=126], [index idet=0]
128 5607889 # [index ibit=127], [index idet=0]
129 5100038 # [index ibit=128], [index idet=0]
130 5309028 # [index ibit=129], [index idet=0]
131 5518017 # [index ibit=130], [index idet=0]
132 5726997 # [index ibit=131], [index idet=0]
133 5935986 # [index ibit=132], [index idet=0]
134 6144976 # [index ibit=133], [index idet=0]
135 6353966 # [index ibit=134], [index idet=0]
136 6562955 # [index ibit=135], [index idet=0]
137 6771935 # [index ibit=136], [index idet=0]
138 6980924 # [index ibit=137], [index idet=0]
139 7189914 # [index ibit=138], [index idet=0]
140 7398904 # [index ibit=139], [index idet=0]
141 7607893 # [index ibit=140], [index idet=0]
142 7816873 # [index ibit=141], [index idet=0]
143 8025862 # [index ibit=142], [index idet=0]
144 8234852 # [index ibit=143], [index idet=0]
145 8548331 # [index ibit=144], [index idet=0]
146 8966310 # [index ibit=145], [index idet=0]
147 9384279 # [index ibit=146], [index idet=0]
148 9802259 # [index ibit=147], [index idet=0]
149 10220207 # [index ibit=148], [index idet=0]
150 10638227 # [index ibit=149], [index idet=0]
151 11056145 # [index ibit=150], [index idet=0]
152 11474165 # [index ibit=151], [index idet=0]
153 11892083 # [index ibit=152], [index idet=0]
154 12310103 # [index ibit=153], [index idet=0]
155 12728123 # [index ibit=154], [index idet=0]
156 13146041 # [index ibit=155], [index idet=0]
157 13564062 # [index ibit=156], [index idet=0]
158 13981979 # [index ibit=157], [index idet=0]
159 14400000 # [index ibit=158], [index idet=0]
160 14817918 # [index ibit=159], [index idet=0]
161 15235938 # [index ibit=160], [index idet=0]
162 15653958 # [index ibit=161], [index idet=0]
163 16071876 # [index ibit=162], [index idet=0]
164 16489896 # [index ibit=163], [index idet=0]
165 17116773 # [index ibit=164], [index idet=0]
166 17952813 # [index ibit=165], [index idet=0]
167 18788751 # [index ibit=166], [index idet=0]
168 19624689 # [index ibit=167], [index idet=0]
169 20460627 # [index ibit=168], [index idet=0]
170 21296565 # [index ibit=169], [index idet=0]
171 22132503 # [index ibit=170], [index idet=0]
172 22968441 # [index ibit=171], [index idet=0]
173 23804379 # [index ibit=172], [index idet=0]
174 24640419 # [index ibit=173], [index idet=0]
175 25476357 # [index ibit=174], [index idet=0]
176 26312295 # [index ibit=175], [index idet=0]
177 27148233 # [index ibit=176], [index idet=0]
178 27984171 # [index ibit=177], [index idet=0]
179 28820109 # [index ibit=178], [index idet=0]
180 29656048 # [index ibit=179], [index idet=0]
181 30491986 # [index ibit=180], [index idet=0]
182 31327924 # [index ibit=181], [index idet=0]
183 32163964 # [index ibit=182], [index idet=0]
184 32999902 # [index ibit=183], [index idet=0]
185 33835840 # [index ibit=184], [index idet=0]
186 35089798 # [index ibit=185], [index idet=0]
187 36761674 # [index ibit=186], [index idet=0]
188 38433550 # [index ibit=187], [index idet=0]
189 40105426 # [index ibit=188], [index idet=0]
190 41777302 # [index ibit=189], [index idet=0]
191 43449280 # [index ibit=190], [index idet=0]
192 45121157 # [index ibit=191], [index idet=0]
193 41980443 # [index ibit=192], [index idet=0]
194 43622818 # [index ibit=193], [index idet=0]
195 45265090 # [index ibit=194], [index idet=0]
196 46907465 # [index ibit=195], [index idet=0]
197 48549738 # [index ibit=196], [index idet=0]
198 50192113 # [index ibit=197], [index idet=0]
199 51834385 # [index ibit=198], [index idet=0]
200 53476760 # [index ibit=199], [index idet=0]
201 55119033 # [index ibit=200], [index idet=0]
202 56761305 # [index ibit=201], [index idet=0]
203 58403680 # [index ibit=202], [index idet=0]
204 60045953 # [index ibit=203], [index idet=0]
205 61688328 # [index ibit=204], [index idet=0]
206 63330601 # [index ibit=205], [index idet=0]
207 64972975 # [index ibit=206], [index idet=0]
208 66615248 # [index ibit=207], [index idet=0]
209 69078759 # [index ibit=208], [index idet=0]
210 72363407 # [index ibit=209], [index idet=0]
211 75648054 # [index ibit=210], [index idet=0]
212 78932702 # [index ibit=211], [index idet=0]
213 82217349 # [index ibit=212], [index idet=0]
214 85501997 # [index ibit=213], [index idet=0]
215 88786644 # [index ibit=214], [index idet=0]
216 92071292 # [index ibit=215], [index idet=0]
217 95355939 # [index ibit=216], [index idet=0]
218 98640587 # [index ibit=217], [index idet=0]
219 101925234 # [index ibit=218], [index idet=0]
220 105209371 # [index ibit=219], [index idet=0]
221 108494325 # [index ibit=220], [index idet=0]
222 111779279 # [index ibit=221], [index idet=0]
223 115064233 # [index ibit=222], [index idet=0]
224 118348166 # [index ibit=223], [index idet=0]
225 121633119 # [index ibit=224], [index idet=0]
226 124918073 # [index ibit=225], [index idet=0]
227 128202006 # [index ibit=226], [index idet=0]
228 131486960 # [index ibit=227], [index idet=0]
229 136414391 # [index ibit=228], [index idet=0]
230 142983277 # [index ibit=229], [index idet=0]
231 149552164 # [index ibit=230], [index idet=0]
232 156122071 # [index ibit=231], [index idet=0]
233 162690958 # [index ibit=232], [index idet=0]
234 169260866 # [index ibit=233], [index idet=0]
235 175829752 # [index ibit=234], [index idet=0]
236 182398639 # [index ibit=235], [index idet=0]
237 188968547 # [index ibit=236], [index idet=0]
238 195537433 # [index ibit=237], [index idet=0]
239 202107341 # [index ibit=238], [index idet=0]
240 208676228 # [index ibit=239], [index idet=0]
241 215245114 # [index ibit=240], [index idet=0]
242 221815022 # [index ibit=241], [index idet=0]
243 228383908 # [index ibit=242], [index idet=0]
244 234953816 # [index ibit=243], [index idet=0]
245 241522703 # [index ibit=244], [index idet=0]
246 248091589 # [index ibit=245], [index idet=0]
247 254661497 # [index ibit=246], [index idet=0]
248 261230384 # [index ibit=247], [index idet=0]
249 267800291 # [index ibit=248], [index idet=0]
250 277654132 # [index ibit=249], [index idet=0]
251 290791905 # [index ibit=250], [index idet=0]
252 303930699 # [index ibit=251], [index idet=0]
253 317069493 # [index ibit=252], [index idet=0]
254 330208288 # [index ibit=253], [index idet=0]
255 343347082 # [index ibit=254], [index idet=0]
256 356484855 # [index ibit=255], [index idet=0]
257 3736 # [index ibit=0], [index idet=1]
258 11208 # [index ibit=1], [index idet=1]
259 18681 # [index ibit=2], [index idet=1]
260 26154 # [index ibit=3], [index idet=1]
261 33626 # [index ibit=4], [index idet=1]
262 41099 # [index ibit=5], [index idet=1]
263 48572 # [index ibit=6], [index idet=1]
264 56044 # [index ibit=7], [index idet=1]
265 63517 # [index ibit=8], [index idet=1]
266 70989 # [index ibit=9], [index idet=1]
267 78462 # [index ibit=10], [index idet=1]
268 85935 # [index ibit=11], [index idet=1]
269 93407 # [index ibit=12], [index idet=1]
270 100880 # [index ibit=13], [index idet=1]
271 108353 # [index ibit=14], [index idet=1]
272 115825 # [index ibit=15], [index idet=1]
273 127034 # [index ibit=16], [index idet=1]
274 141979 # [index ibit=17], [index idet=1]
275 156925 # [index ibit=18], [index idet=1]
276 171870 # [index ibit=19], [index idet=1]
277 186815 # [index ibit=20], [index idet=1]
278 201761 # [index ibit=21], [index idet=1]
279 216706 # [index ibit=22], [index idet=1]
280 231650 # [index ibit=23], [index idet=1]
281 246597 # [index ibit=24], [index idet=1]
282 261542 # [index ibit=25], [index idet=1]
283 276487 # [index ibit=26], [index idet=1]
284 291431 # [index ibit=27], [index idet=1]
285 306378 # [index ibit=28], [index idet=1]
286 321323 # [index ibit=29], [index idet=1]
287 336267 # [index ibit=30], [index idet=1]
288 351214 # [index ibit=31], [index idet=1]
289 366159 # [index ibit=32], [index idet=1]
290 381104 # [index ibit=33], [index idet=1]
291 396048 # [index ibit=34], [index idet=1]
292 410995 # [index ibit=35], [index idet=1]
293 433412 # [index ibit=36], [index idet=1]
294 463304 # [index ibit=37], [index idet=1]
295 493193 # [index ibit=38], [index idet=1]
296 523085 # [index ibit=39], [index idet=1]
297 552974 # [index ibit=40], [index idet=1]
298 582865 # [index ibit=41], [index idet=1]
299 612755 # [index ibit=42], [index idet=1]
300 642646 # [index ibit=43], [index idet=1]
301 672535 # [index ibit=44], [index idet=1]
302 702427 # [index ibit=45], [index idet=1]
303 732319 # [index ibit=46], [index idet=1]
304 762208 # [index ibit=47], [index idet=1]
305 792099 # [index ibit=48], [index idet=1]
306 821989 # [index ibit=49], [index idet=1]
307 851880 # [index ibit=50], [index idet=1]
308 881770 # [index ibit=51], [index idet=1]
309 911661 # [index ibit=52], [index idet=1]
310 941550 # [index ibit=53], [index idet=1]
311 971442 # [index ibit=54], [index idet=1]
312 1001333 # [index ibit=55], [index idet=1]
313 1031223 # [index ibit=56], [index idet=1]
314 1076059 # [index ibit=57], [index idet=1]
315 1135840 # [index ibit=58], [index idet=1]
316 1195621 # [index ibit=59], [index idet=1]
317 1255401 # [index ibit=60], [index idet=1]
318 1315182 # [index ibit=61], [index idet=1]
319 1374963 # [index ibit=62], [index idet=1]
320 1434746 # [index ibit=63], [index idet=1]
321 1306625 # [index ibit=64], [index idet=1]
322 1365717 # [index ibit=65], [index idet=1]
323 1424811 # [index ibit=66], [index idet=1]
324 1483904 # [index ibit=67], [index idet=1]
325 1542998 # [index ibit=68], [index idet=1]
326 1602090 # [index ibit=69], [index idet=1]
327 1661183 # [index ibit=70], [index idet=1]
328 1720277 # [index ibit=71], [index idet=1]
329 1779369 # [index ibit=72], [index idet=1]
330 1838463 # [index ibit=73], [index idet=1]
331 1897556 # [index ibit=74], [index idet=1]
332 1956648 # [index ibit=75], [index idet=1]
333 2015742 # [index ibit=76], [index idet=1]
334 2074835 # [index ibit=77], [index idet=1]
335 2133927 # [index ibit=78], [index idet=1]
336 2193021 # [index ibit=79], [index idet=1]
337 2281661 # [index ibit=80], [index idet=1]
338 2399849 # [index ibit=81], [index idet=1]
339 2518023 # [index ibit=82], [index idet=1]
340 2636220 # [index ibit=83], [index idet=1]
341 2754393 # [index ibit=84], [index idet=1]
342 2872590 # [index ibit=85], [index idet=1]
343 2990787 # [index ibit=86], [index idet=1]
344 3108961 # [index ibit=87], [index idet=1]
345 3227158 # [index ibit=88], [index idet=1]
346 3345331 # [index ibit=89], [index idet=1]
347 3463528 # [index ibit=90], [index idet=1]
348 3581702 # [index ibit=91], [index idet=1]
349 3699899 # [index ibit=92], [index idet=1]
350 3818072 # [index ibit=93], [index idet=1]
351 3936269 # [index ibit=94], [index idet=1]
352 4054443 # [index ibit=95], [index idet=1]
353 4172640 # [index ibit=96], [index idet=1]
354 4290814 # [index ibit=97], [index idet=1]
355 4409010 # [index ibit=98], [index idet=1]
356 4527207 # [index ibit=99], [index idet=1]
357 4704479 # [index ibit=100], [index idet=1]
358 4940850 # [index ibit=101], [index idet=1]
359 5177220 # [index ibit=102], [index idet=1]
360 5413591 # [index ibit=103], [index idet=1]
361 5649962 # [index ibit=104], [index idet=1]
362 5886332 # [index ibit=105], [index idet=1]
363 6122703 # [index ibit=106], [index idet=1]
364 6359073 # [index ibit=107], [index idet=1]
365 6595444 # [index ibit=108], [index idet=1]
366 6831837 # [index ibit=109], [index idet=1]
367 7068208 # [index ibit=110], [index idet=1]
368 7304579 # [index ibit=111], [index idet=1]
369 7540949 # [index ibit=112], [index idet=1]
370 7777320 # [index ibit=113], [index idet=1]
371 8013690 # [index ibit=114], [index idet=1]
372 8250061 # [index ibit=115], [index idet=1]
373 8486432 # [index ibit=116], [index idet=1]
374 8722802 # [index ibit=117], [index idet=1]
375 8959173 # [index ibit=118], [index idet=1]
376 9195543 # [index ibit=119], [index idet=1]
377 9431914 # [index ibit=120], [index idet=1]
378 9786481 # [index ibit=121], [index idet=1]
379 10259222 # [index ibit=122], [index idet=1]
380 10731963 # [index ibit=123], [index idet=1]
381 11204705 # [index ibit=124], [index idet=1]
382 11677469 # [index ibit=125], [index idet=1]
383 12150210 # [index ibit=126], [index idet=1]
384 12622951 # [index ibit=127], [index idet=1]
385 11479815 # [index ibit=128], [index idet=1]
386 11950236 # [index ibit=129], [index idet=1]
387 12420656 # [index ibit=130], [index idet=1]
388 12891054 # [index ibit=131], [index idet=1]
389 13361474 # [index ibit=132], [index idet=1]
390 13831895 # [index ibit=133], [index idet=1]
391 14302315 # [index ibit=134], [index idet=1]
392 14772735 # [index ibit=135], [index idet=1]
393 15243133 # [index ibit=136], [index idet=1]
394 15713553 # [index ibit=137], [index idet=1]
395 16183974 # [index ibit=138], [index idet=1]
396 16654394 # [index ibit=139], [index idet=1]
397 17124814 # [index ibit=140], [index idet=1]
398 17595212 # [index ibit=141], [index idet=1]
399 18065632 # [index ibit=142], [index idet=1]
400 18536053 # [index ibit=143], [index idet=1]
401 19241672 # [index ibit=144], [index idet=1]
402 20182513 # [index ibit=145], [index idet=1]
403 21123330 # [index ibit=146], [index idet=1]
404 22064171 # [index ibit=147], [index idet=1]
405 23004943 # [index ibit=148], [index idet=1]
406 23945876 # [index ibit=149], [index idet=1]
407 24886579 # [index ibit=150], [index idet=1]
408 25827512 # [index ibit=151], [index idet=1]
409 26768215 # [index ibit=152], [index idet=1]
410 27709147 # [index ibit=153], [index idet=1]
411 28650080 # [index ibit=154], [index idet=1]
412 29590783 # [index ibit=155], [index idet=1]
413 30531716 # [index ibit=156], [index idet=1]
414 31472419 # [index ibit=157], [index idet=1]
415 32413351 # [index ibit=158], [index idet=1]
416 33354054 # [index ibit=159], [index idet=1]
417 34294987 # [index ibit=160], [index idet=1]
418 35235920 # [index ibit=161], [index idet=1]
419 36176623 # [index ibit=162], [index idet=1]
420 37117556 # [index ibit=163], [index idet=1]
421 38528610 # [index ibit=164], [index idet=1]
422 40410475 # [index ibit=165], [index idet=1]
423 42292111 # [index ibit=166], [index idet=1]
424 44173747 # [index ibit=167], [index idet=1]
425 46055383 # [index ibit=168], [index idet=1]
426 47937018 # [index ibit=169], [index idet=1]
427 49818654 # [index ibit=170], [index idet=1]
428 51700290 # [index ibit=171], [index idet=1]
429 53581925 # [index ibit=172], [index idet=1]
430 55463791 # [index ibit=173], [index idet=1]
431 57345426 # [index ibit=174], [index idet=1]
432 59227062 # [index ibit=175], [index idet=1]
433 61108698 # [index ibit=176], [index idet=1]
434 62990334 # [index ibit=177], [index idet=1]
435 64871969 # [index ibit=178], [index idet=1]
436 66753605 # [index ibit=179], [index idet=1]
437 68635241 # [index ibit=180], [index idet=1]
438 70516876 # [index ibit=181], [index idet=1]
439 72398742 # [index ibit=182], [index idet=1]
440 74280377 # [index ibit=183], [index idet=1]
441 76162013 # [index ibit=184], [index idet=1]
442 78984582 # [index ibit=185], [index idet=1]
443 82747853 # [index ibit=186], [index idet=1]
444 86511124 # [index ibit=187], [index idet=1]
445 90274396 # [index ibit=188], [index idet=1]
446 94037667 # [index ibit=189], [index idet=1]
447 97801168 # [index ibit=190], [index idet=1]
448 101564440 # [index ibit=191], [index idet=1]
449 94494921 # [index ibit=192], [index idet=1]
450 98191787 # [index ibit=193], [index idet=1]
451 101888424 # [index ibit=194], [index idet=1]
452 105585290 # [index ibit=195], [index idet=1]
453 109281926 # [index ibit=196], [index idet=1]
454 112978792 # [index ibit=197], [index idet=1]
455 116675429 # [index ibit=198], [index idet=1]
456 120372295 # [index ibit=199], [index idet=1]
457 124068931 # [index ibit=200], [index idet=1]
458 127765568 # [index ibit=201], [index idet=1]
459 131462434 # [index ibit=202], [index idet=1]
460 135159070 # [index ibit=203], [index idet=1]
461 138855936 # [index ibit=204], [index idet=1]
462 142552572 # [index ibit=205], [index idet=1]
463 146249439 # [index ibit=206], [index idet=1]
464 149946075 # [index ibit=207], [index idet=1]
465 155491259 # [index ibit=208], [index idet=1]
466 162884762 # [index ibit=209], [index idet=1]
467 170278264 # [index ibit=210], [index idet=1]
468 177671767 # [index ibit=211], [index idet=1]
469 185065269 # [index ibit=212], [index idet=1]
470 192458772 # [index ibit=213], [index idet=1]
471 199852274 # [index ibit=214], [index idet=1]
472 207245776 # [index ibit=215], [index idet=1]
473 214639279 # [index ibit=216], [index idet=1]
474 222032781 # [index ibit=217], [index idet=1]
475 229426284 # [index ibit=218], [index idet=1]
476 236818637 # [index ibit=219], [index idet=1]
477 244212829 # [index ibit=220], [index idet=1]
478 251607021 # [index ibit=221], [index idet=1]
479 259001213 # [index ibit=222], [index idet=1]
480 266393107 # [index ibit=223], [index idet=1]
481 273787299 # [index ibit=224], [index idet=1]
482 281181490 # [index ibit=225], [index idet=1]
483 288573384 # [index ibit=226], [index idet=1]
484 295967576 # [index ibit=227], [index idet=1]
485 307058864 # [index ibit=228], [index idet=1]
486 321844950 # [index ibit=229], [index idet=1]
487 336631036 # [index ibit=230], [index idet=1]
488 351419419 # [index ibit=231], [index idet=1]
489 366205505 # [index ibit=232], [index idet=1]
490 380993889 # [index ibit=233], [index idet=1]
491 395779974 # [index ibit=234], [index idet=1]
492 410566060 # [index ibit=235], [index idet=1]
493 425354444 # [index ibit=236], [index idet=1]
494 440140530 # [index ibit=237], [index idet=1]
495 454928913 # [index ibit=238], [index idet=1]
496 469714999 # [index ibit=239], [index idet=1]
497 484501085 # [index ibit=240], [index idet=1]
498 499289468 # [index ibit=241], [index idet=1]
499 514075554 # [index ibit=242], [index idet=1]
500 528863938 # [index ibit=243], [index idet=1]
501 543650024 # [index ibit=244], [index idet=1]
502 558436109 # [index ibit=245], [index idet=1]
503 573224493 # [index ibit=246], [index idet=1]
504 588010579 # [index ibit=247], [index idet=1]
505 602798962 # [index ibit=248], [index idet=1]
506 624979240 # [index ibit=249], [index idet=1]
507 654551412 # [index ibit=250], [index idet=1]
508 684125881 # [index ibit=251], [index idet=1]
509 713700350 # [index ibit=252], [index idet=1]
510 743274820 # [index ibit=253], [index idet=1]
511 772849289 # [index ibit=254], [index idet=1]
512 802421461 # [index ibit=255], [index idet=1]
513 3816 # [index ibit=0], [index idet=2]
514 11449 # [index ibit=1], [index idet=2]
515 19083 # [index ibit=2], [index idet=2]
516 26716 # [index ibit=3], [index idet=2]
517 34349 # [index ibit=4], [index idet=2]
518 41982 # [index ibit=5], [index idet=2]
519 49615 # [index ibit=6], [index idet=2]
520 57249 # [index ibit=7], [index idet=2]
521 64882 # [index ibit=8], [index idet=2]
522 72515 # [index ibit=9], [index idet=2]
523 80148 # [index ibit=10], [index idet=2]
524 87782 # [index ibit=11], [index idet=2]
525 95415 # [index ibit=12], [index idet=2]
526 103048 # [index ibit=13], [index idet=2]
527 110681 # [index ibit=14], [index idet=2]
528 118314 # [index ibit=15], [index idet=2]
529 129764 # [index ibit=16], [index idet=2]
530 145031 # [index ibit=17], [index idet=2]
531 160297 # [index ibit=18], [index idet=2]
532 175564 # [index ibit=19], [index idet=2]
533 190830 # [index ibit=20], [index idet=2]
534 206096 # [index ibit=21], [index idet=2]
535 221363 # [index ibit=22], [index idet=2]
536 236629 # [index ibit=23], [index idet=2]
537 251897 # [index ibit=24], [index idet=2]
538 267163 # [index ibit=25], [index idet=2]
539 282429 # [index ibit=26], [index idet=2]
540 297694 # [index ibit=27], [index idet=2]
541 312962 # [index ibit=28], [index idet=2]
542 328228 # [index ibit=29], [index idet=2]
543 343494 # [index ibit=30], [index idet=2]
544 358762 # [index ibit=31], [index idet=2]
545 374028 # [index ibit=32], [index idet=2]
546 389294 # [index ibit=33], [index idet=2]
547 404560 # [index ibit=34], [index idet=2]
548 419828 # [index ibit=35], [index idet=2]
549 442726 # [index ibit=36], [index idet=2]
550 473260 # [index ibit=37], [index idet=2]
551 503792 # [index ibit=38], [index idet=2]
552 534326 # [index ibit=39], [index idet=2]
553 564858 # [index ibit=40], [index idet=2]
554 595391 # [index ibit=41], [index idet=2]
555 625923 # [index ibit=42], [index idet=2]
556 656457 # [index ibit=43], [index idet=2]
557 686989 # [index ibit=44], [index idet=2]
558 717523 # [index ibit=45], [index idet=2]
559 748057 # [index ibit=46], [index idet=2]
560 778588 # [index ibit=47], [index idet=2]
561 809122 # [index ibit=48], [index idet=2]
562 839654 # [index ibit=49], [index idet=2]
563 870188 # [index ibit=50], [index idet=2]
564 900719 # [index ibit=51], [index idet=2]
565 931253 # [index ibit=52], [index idet=2]
566 961785 # [index ibit=53], [index idet=2]
567 992319 # [index ibit=54], [index idet=2]
568 1022853 # [index ibit=55], [index idet=2]
569 1053384 # [index ibit=56], [index idet=2]
570 1099184 # [index ibit=57], [index idet=2]
571 1160249 # [index ibit=58], [index idet=2]
572 1221315 # [index ibit=59], [index idet=2]
573 1282381 # [index ibit=60], [index idet=2]
574 1343446 # [index ibit=61], [index idet=2]
575 1404512 # [index ibit=62], [index idet=2]
576 1465580 # [index ibit=63], [index idet=2]
577 1334705 # [index ibit=64], [index idet=2]
578 1395067 # [index ibit=65], [index idet=2]
579 1455431 # [index ibit=66], [index idet=2]
580 1515794 # [index ibit=67], [index idet=2]
581 1576158 # [index ibit=68], [index idet=2]
582 1636519 # [index ibit=69], [index idet=2]
583 1696883 # [index ibit=70], [index idet=2]
584 1757247 # [index ibit=71], [index idet=2]
585 1817608 # [index ibit=72], [index idet=2]
586 1877972 # [index ibit=73], [index idet=2]
587 1938336 # [index ibit=74], [index idet=2]
588 1998697 # [index ibit=75], [index idet=2]
589 2059061 # [index ibit=76], [index idet=2]
590 2119425 # [index ibit=77], [index idet=2]
591 2179786 # [index ibit=78], [index idet=2]
592 2240150 # [index ibit=79], [index idet=2]
593 2330695 # [index ibit=80], [index idet=2]
594 2451423 # [index ibit=81], [index idet=2]
595 2572136 # [index ibit=82], [index idet=2]
596 2692873 # [index ibit=83], [index idet=2]
597 2813587 # [index ibit=84], [index idet=2]
598 2934324 # [index ibit=85], [index idet=2]
599 3055060 # [index ibit=86], [index idet=2]
600 3175774 # [index ibit=87], [index idet=2]
601 3296511 # [index ibit=88], [index idet=2]
602 3417224 # [index ibit=89], [index idet=2]
603 3537961 # [index ibit=90], [index idet=2]
604 3658674 # [index ibit=91], [index idet=2]
605 3779411 # [index ibit=92], [index idet=2]
606 3900125 # [index ibit=93], [index idet=2]
607 4020862 # [index ibit=94], [index idet=2]
608 4141575 # [index ibit=95], [index idet=2]
609 4262312 # [index ibit=96], [index idet=2]
